title,location2,present_as,audience_type,date,audience_desc,location1
European integration of Ukraine is a guarantee of a free and prosperous life for all generations of our people,Ukraine,In-person,Multi-national,1/07/2022,Speech at the plenary session of the verkhovna rada,Ukraine
"Russia has chosen the path of war, Ukraine is fighting on the path to peace",Japan,Virtual,National,4/07/2022,Address to the japanese university community,Japan
The reconstruction of Ukraine will be the greatest contribution to the maintenance of global peace,Switzerland,Virtual,Multi-national,4/07/2022,Speech at the ukraine recovery conference in lugano,Switzerland
"Russian tactics must not become the norm, the world order must be restored",South Korea,Virtual,National,13/07/2022,"Address to the participants of the ""asian leadership"" conference in seoul",South Korea
All Russian criminals must face a mandatory and principled punishment,Netherlands,Virtual,Multi-national,14/07/2022,Speech at the international conference in the hague on holding russia accountable for crimes in ukraine,Netherlands
The war did not break Ukraine and will not break or stop life in our country – address of President Volodymyr Zelenskyy at the second Summit of First Ladies and Gentlemen,"Latvia, Lithuania, Serbia, Israel, Germany, Turkey, Croatia, Costa Rica, Brazil, the European Council, the daughter of the President of Lebanon, and the First Lady of Ukraine Olena Zelenska",In-person,Multi-national,23/08/2022,Address at the second summit of first ladies and gentlemen,Ukraine
The democracies of the world are capable of stopping any tyranny,United Kingdom,Virtual,National,26/08/2022,Speech during the awarding of the winston churchill leadership award,United Kingdom
Speech by President Volodymyr Zelenskyy at the Verkhovna Rada session on the occasion of the Day of Ukrainian Statehood,Ukraine,In-person,Multi-national,28/07/2022,Speech at the verkhovna rada session on the occasion of the day of ukrainian statehood,Ukraine
The world must make a choice: an end to Russian atrocities or more explosions of Russian bombs,Australia,Virtual,National,3/08/2022,Address to students and lecturers of australian universities,Australia
"No one will be able to stop the wind carrying radiation, but all of us can stop the terrorist state of Russia","The Netherlands, Germany, Denmark, Finland, Iceland, Norway, Sweden, Poland and the three Baltic states",Virtual,Multi-national,11/08/2022,Speech at the conference of defense ministers of northern european countries and ukraine,Denmark
"Russia deliberately deepening crisis of cost of living in many countries, that is why we must jointly resist its aggression",Chile,Virtual,National,17/08/2022,Speech to university community of chile,Chile
Everything started with Crimea and will end with it - liberation of the peninsula from occupation is necessary,"60 countries -the G7, representatives of the African continent and Latin American countries",In-person,Multi-national,23/08/2022,Speech at the opening of the second crimea platform summit,Czech Republic
We all have to make Russia recognize that the inviolability of borders and peace are unconditional values for all nations,UN nations,Virtual,Multi-national,24/08/2022,Speech at the meeting of the un security council,United States
"Energy independence from Russia is of fundamental importance for all Europeans, and only together can we protect Europe","Norway, USA, others (unclear)",Virtual,Multi-national,29/08/2022,Speech at the offshore northern seas conference 2022,Norway
It is important to do everything so that Russia can never again blackmail either Ukraine or France,France,Virtual,National,29/08/2022,Speech at the annual meeting of french entrepreneurs under the auspices of the medef business association,France
European countries and the entire free world should encourage Russian citizens to fight for a change in Russian policy,Slovenia,Virtual,Multi-national,29/08/2022,Address to the participants of the bled strategic forum (slovenia),Slovenia
The decisive battle for freedom is taking place in Ukraine now; we are grateful to you that we are not alone in this battle,Czech Republic,Virtual,Multi-national,31/08/2022,Address to the participants of the 26th annual forum 2000 conference in prague,Czech Republic
"Russia wants the world to make three mistakes: to get used to the war, to put up with the war and to forget about the war; this intention should never succeed",Italy,Virtual,Multi-national,1/09/2022,Address to the participants of the venice film festival,Italy
"We will do everything so that Ukrainians, Poles and all the peoples of Europe live freely – President of Ukraine addresses the people of Poland on the 83rd anniversary of the outbreak of the Second World War",Poland,Virtual,National,1/09/2022,Speech to the people of poland on the 83rd anniversary of the outbreak of the second world war,Poland
We will force Russia to peace if all our partners keep their word as Ukraine does - speech by President Volodymyr Zelenskyy at the Ambrosetti Forum,Italy,Virtual,Multi-national,2/09/2022,Speech at the ambrosetti forum,Italy
It is on Ukrainian land that the new center of economic growth in Europe will be - President's speech at the meeting with the heads of big businesses in the framework of the opening of the New York Stock Exchange,USA,Virtual,National,6/09/2022,Speech at the meeting with the heads of big businesses in the framework of the opening of the new york stock exchange,United States
"in the world is changing, but the completion of the unification of Europe is impossible without Ukraine - speech by President Volodymyr Zelenskyy at the annual YES meeting",European Union,In-person,Multi-national,10/09/2022,Speech at the annual yes meeting,Ukraine
The state that provokes famine should get the toughest reaction from the world - President's speech at the Global Food Security Summit,"USA, EU, African Union, more (unspecified)",Virtual,Multi-national,21/09/2022,Speech at the global food security summit,United States
Speech by the President of Ukraine at the General Debate of the 77th session of the UN General Assembly,United Nations,Virtual,Multi-national,22/09/2022,Speech at the general debate of the 77th session of the un general assembly,United States
"The more added value Ukraine produces, the more added security the people of the world get",USA,Virtual,Multi-national,23/09/2022,Speech at the forbes 400 summit on philanthropy,United States
"To give hope for the future, and to give people the feeling that they are respected - this is why the First Lady of Ukraine created the Foundation",USA,Virtual,Multi-national,23/09/2022,Speech at the presentation of the olena zelenska foundation,United States
Speech by President Volodymyr Zelenskyy at the meeting of the UN Security Council convened at the initiative of Ukraine,United Nations,Virtual,Multi-national,27/09/2022,Speech at the meeting of the un security council convened at the initiative of ukraine,United States
To act preventively means to prevent catastrophic damage from further actions of Russia,USA,Virtual,National,28/09/2022,Address to students and lecturers of harvard university,United States
"The greater unity we have, the more tangible Russian defeats are",Greece,Virtual,Multi-national,28/09/2022,Address at the athens democracy forum,Greece
We must create a Special Tribunal on the crime of aggression against Ukraine,France,Virtual,National,5/10/2022,"Speech to the participants of the public debate ""war and law"" in paris",France
We need your support to bring back peace faster,USA,Virtual,National,6/10/2022,Speech to the participants of the session of the general assembly of the organization of american states,USA
The world must show the strength needed to put an end to the aggressor's ability to escalate,Australian,Virtual,National,6/10/2022,Speech in the australian lowy institute,Australian
Russian evil will lose when our peace formula prevails,European Union,Virtual,Multi-national,6/10/2022,Speech at the meeting of the leaders of the european political community,Czech Republic
We must never stop defending freedom and democracy,European Union,Virtual,Multi-national,7/10/2022,Speech at the european council meeting,Czech Republic
"We must strengthen our alliances and cooperation, we must get rid of all types of dependence on Russia",Southeast European Nations (unspecified),Virtual,Multi-national,8/10/2022,Address to the participants of the 2bs forum in montenegro,Montenegro
It is necessary to intensify common efforts to create an air shield for Ukraine,"Canada, France, Germany, Italy, Japan, the United Kingdom, the United States, European Union.",Virtual,Multi-national,11/10/2022,Speech at the video conference of the leaders of the group of seven and ukraine,Ukraine
We prepared the nomination file of Odesa for inclusion in the World Heritage List,UNESCO Executive Board,Virtual,Multi-national,11/10/2022,Address to the participants of the 215th session of the unesco executive board,France
"Our cooperation brings the victory of Ukraine closer - speech by President Volodymyr Zelenskyy at the Second Ministerial Roundtable Discussion for Support to Ukraine under the leadership of the Ukrainian Government, the World Bank Group and the IMF","World Bank Group, IMF",Virtual,Multi-national,12/10/2022,"Speech at the second ministerial roundtable discussion for support to ukraine under the leadership of the ukrainian government, the world bank group and the imf",United States
Speech by the President of Ukraine at the autumn plenary session of the Parliamentary Assembly of the Council of Europe,European Union,Virtual,Multi-national,13/10/2022,Address at parliamentary assembly of the council of europe,France
"Russian terror must lose, Ukraine and all of Europe must win",European Union,Virtual,National,20/10/2022,Address to the european council,Belgium
"Do everything to let people know about Russia's terror in Ukraine, spread stories about the victories of freedom",Germany,Virtual,Multi-national,21/10/2022,Address to the participants of the frankfurt book fair,Germany
The alliance between Russia and Iran can be rendered meaningless if we act together,Israel,Virtual,National,24/10/2022,Adress to the participants of the haaretz democracy conference,Israel
"By investing in the recovery of Ukraine, you are investing in a future member of the EU","G7, European Union",Virtual,Multi-national,25/10/2022,"Speech at the international expert conference on the recovery, reconstruction and modernisation of ukraine",Germany
The return of the Ukrainian flag to Crimea will mean the restoration of real peace,"Council of Europe, EU, GUAM, Australia, Austria, Albania, Andorra, Belgium, Bulgaria, Great Britain, Greece, Georgia, Denmark, Estonia, Ireland, Iceland, Spain, Italy, Canada, Cyprus, Latvia, Lithuania, Liberia, Liechtenstein, Luxembourg, Moldova, Netherlands, Germany, New Zealand, Norway, North Macedonia, Poland, Portugal, Romania, Slovakia, Slovenia, Türkiye, Hungary, Ukraine, Finland, France, Croatia, Czech Republic, Montenegro, Sweden, Japan.",Virtual,Multi-national,25/10/2022,Speech at the first parliamentary summit of the crimea platform,Croatia
It is in Ukraine that the global fate of democracy will be determined,USA,Virtual,National,29/10/2022,Address to us senators and the yale community,United States
Lawyers will put an end to this war after the military and politicians,IBA countries,Virtual,Multi-national,31/10/2022,Address to the participants of the meeting organized by the international bar association (iba),United States
"The Liberty Medal is for everyone who fights and works to protect Ukraine, everyone who supports us",USA,Virtual,National,8/11/2022,Speech at the 34th award ceremony of the national constitution center,United States
There can be no effective climate policy without peace on earth,United Nations,Virtual,Multi-national,8/11/2022,Address at the 27th un conference on climate change in sharm el-sheikh,Egypt
Volodymyr Zelenskyy's greetings to US Veterans,USA,Virtual,National,11/11/2022,Speech to us veterans.,United States
"Ukraine has always been a leader in peacemaking efforts; if Russia wants to end this war, let it prove it with actions",G20 nations,Virtual,Multi-national,15/11/2022,Speech at the g20 summit,Indonesia
Take the Ukrainian defense experience to guarantee the security of your people,G20 nations,Virtual,Multi-national,16/11/2022,"Speech in the ""digital transformation"" panel within the g20 summit",Indonesia
"The more forms of terror Russia will use in this war, the more money the world will spend on weapons and defense",Bloomberg New Economy Council and forum participants (states unspecified),Virtual,Multi-national,17/11/2022,Address to the participants of the bloomberg new economy forum,Singapore
"Russian aggression does not stop for a single day, so the pressure on Russia should not stop either, and everyone can do it at their own level",Ireland,Virtual,National,18/11/2022,Address to the university community of ireland,Ireland
"Ukraine wants peace, but for its restoration we need support",France,Virtual,Multi-national,20/11/2022,Address to the members of the international organization of la francophonie,France
"We must remain principled in countering Russian aggression, joint action is true peacekeeping","NATO states: Albania, Belgium, Bulgaria, Canada, Croatia, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Iceland, Italy, Latvia, Lithuania, Luxembourg, Montenegro, Netherlands, Norway, Poland, Portugal, the Republic of Macedo",Virtual,Multi-national,21/11/2022,Speech at the annual session of the nato parliamentary assembly,Spain
"Aid to Ukraine today is not just a matter of equipment, it is protection against terror",France,Virtual,National,22/11/2022,Address to the 104th congress of mayors and heads of municipalities of france,France
Ukraine proposes to adopt a resolution condemning energy terror,United Nations,Virtual,Multi-national,24/11/2022,Speech at the meeting of the un security council convened after the missile strikes of the russian federation,United States
I urge you to do everything possible so that the OSCE becomes a co-creator of the victory over Russian terror,OSCE members,Virtual,Multi-national,24/11/2022,Speech at the osce pa,Poland
"Europe's dependence on Russian energy resources began to decrease, and should completely vanish",European Union,Virtual,Multi-national,25/11/2022,Address to the participants of the european idea international symposium,Lithuania
Opening address of President of Ukraine at the inaugural International Summit оn Food Security under Grain from Ukraine humanitarian program,"EU, African Union, approx 30 states (unspecified)",In-person,Multi-national,26/11/2022,Address at the inaugural international summit оn food security under grain from ukraine humanitarian program,Ukraine
Ukraine will become a role model of reconstruction,Ukraine,Virtual,Multi-national,29/11/2022,Address to the general assembly of the international bureau of expositions regarding the holding of expo 2030 in odesa,Ukraine
Whoever started an unprovoked and criminal war must lose and bear responsibility,USA,Virtual,National,7/12/2022,Speech at the madeleine k. Albright democracy awards ceremony,United States
The fate of millions of people who can be saved is being decided on the battlefield in Ukraine,USA,Virtual,National,7/12/2022,Address to robert f. Kennedy human rights foundation,United States
It is an honor for me to represent all Ukrainians,European Union,Virtual,Multi-national,8/12/2022,Speech at the annual announcement of the list of the most influential people in europe politico 28,United States
The spirit of Ukraine is the spirit of freedom that echoes in the souls of people around the world,USA,Virtual,National,9/12/2022,Speech at the time event dedicated to the announcement of remarkable people and events of 2022,United States
Guaranteeing the security of the Mykolaiv region and its ports will be the next step towards ensuring global food security,Turkey,Virtual,Multi-national,9/12/2022,Address to the participants of the trt world forum 2022 in istanbul,Turkey
There must be a single legal front that will overcome Russia's genocidal policy,Ukraine,In-person,Multi-national,9/12/2022,"Speech at ""ua: human rights in dark times"" international conference in kyiv",Ukraine
I propose to convene the Global Peace Formula Summit to determine how we can implement the Ukrainian Peace Formula,G7 nations,Virtual,Multi-national,12/12/2022,Address to the g7 leaders,Germany
"We need the Paris Mechanism, which will help give timely responses to the challenges of Russian energy terror","France, Ukraine, international guests",Virtual,Multi-national,13/12/2022,"Address to the participants of ""in solidarity with the ukrainian people"" conference",France
"The more effectively we combine the power of Ukraine and France, the more we will benefit from it, the more reliable peace will be",France,Virtual,National,13/12/2022,Address to the participants of the forum on the resilience and reconstruction of ukraine in paris,France
I urge you to support the Ukrainian Peace Formula and to start the consolidation of the world for the sake of countering ecocide,New Zealand,Virtual,National,13/12/2022,Speech in the parliament of new zealand,New Zealand
"The most effective protection of freedom, human rights and the rule of law is to hold to account all those who started the war",European Union,Virtual,Multi-national,14/12/2022,Speech at the presentation of the sakharov prize,France
Macro-financial support for Ukraine and strengthening EU sanctions against Russia are also weapons in the defense of freedom,European Union,Virtual,Multi-national,15/12/2022,Speech at the meeting of the european council,Belgium
Russian aggression can and must fail; our task is to speed it up,United Kingdom,Virtual,Multi-national,19/12/2022,Address to the participants of the meeting of the leaders of the united kingdom's joint expeditionary force (jef),United Kingdom
"We stand, we fight and we will win. Because we are united. Ukraine, America and the entire free world",USA,In-person,National,22/12/2022,Address in a joint meeting of the us congress,United States
Address by the President of Ukraine at the solemn session of the Seimas of the Republic of Lithuania on the occasion of the Day of Freedom Defenders and the ceremony of awarding the Freedom Prize of the Republic of Lithuania,Lithuania,Virtual,National,13/01/2023,Address at the solemn session of the seimas of the republic of lithuania on the occasion of the day of freedom defenders and the ceremony of awarding the freedom prize of the republic of lithuania,Lithuania
"We can restore peace throughout Ukraine, but for this we must be together",Germany,Virtual,National,17/01/2023,Speech in an online meeting with german students,Germany
